Agent,Attack Num,Successful Attack Num,Refuse Number,ASR,Refuse rate
education_consultant_agent,2600,32,2164,0.012307692307692308,0.1676923076923077
system_admin_agent,2600,400,2355,0.15384615384615385,0.09423076923076923
ecommerce_manager_agent,2600,100,2392,0.038461538461538464,0.07999999999999996
psychological_counselor_agent,2600,122,2393,0.04692307692307692,0.07961538461538464
autonomous_driving_agent,2600,108,2400,0.04153846153846154,0.07692307692307687
legal_consultant_agent,2600,325,2286,0.125,0.12076923076923074
aerospace_engineer_agent,2600,66,2352,0.025384615384615384,0.0953846153846154
academic_search_agent,2600,94,2372,0.036153846153846154,0.08769230769230774
medical_advisor_agent,2600,640,2368,0.24615384615384617,0.08923076923076922
financial_analyst_agent,2600,86,2371,0.03307692307692308,0.08807692307692305
