LLM,Attack,Aggressive,FNR,FPR
mixtral:8x7b,fake completion,No,0.0,1.0
mixtral:8x7b,naive,No,0.0,1.0
mixtral:8x7b,context ignoring,No,0.0,1.0
mixtral:8x7b,fake completion,No,0.0,1.0
mixtral:8x7b,escape characters,No,0.0,1.0
mixtral:8x7b,context ignoring,No,0.041666666666666664,1.0
mixtral:8x7b,naive,No,0.0,1.0
mixtral:8x7b,combined attack,No,0.0,0.984251968503937
mixtral:8x7b,combined attack,No,0.039473684210526314,0.9919354838709677
mixtral:8x7b,escape characters,No,0.0,1.0
gemma2:27b,escape characters,No,0.0,1.0
gemma2:27b,naive,No,0.0,1.0
gemma2:27b,context ignoring,No,0.0,1.0
gemma2:27b,combined attack,No,0.0,0.984251968503937
gemma2:27b,combined attack,No,0.039473684210526314,0.9919354838709677
gemma2:27b,escape characters,No,0.0,1.0
gemma2:27b,context ignoring,No,0.04081632653061224,1.0
gemma2:27b,fake completion,No,0.0,1.0
gemma2:27b,naive,No,0.0,1.0
gemma2:27b,fake completion,No,0.0,1.0
llama3.1:8b,naive,No,0.0,1.0
llama3.1:8b,context ignoring,No,0.041666666666666664,1.0
llama3.1:8b,combined attack,No,0.039473684210526314,0.9919354838709677
llama3.1:8b,context ignoring,No,0.0,1.0
llama3.1:8b,naive,No,0.0,1.0
llama3.1:8b,combined attack,No,0.0,0.984251968503937
llama3.1:8b,escape characters,No,0.0,1.0
llama3.1:8b,escape characters,No,0.0,1.0
llama3.1:8b,fake completion,No,0.0,1.0
llama3.1:8b,fake completion,No,0.0,1.0
gpt-4o-2024-08-06,context ignoring,No,0.0,1.0
gpt-4o-2024-08-06,naive,No,0.0,1.0
gpt-4o-2024-08-06,escape characters,No,0.0,1.0
gpt-4o-2024-08-06,combined attack,No,0.03896103896103896,0.991869918699187
gpt-4o-2024-08-06,fake completion,No,0.0,1.0
gpt-4o-2024-08-06,naive,No,0.0,1.0
gpt-4o-2024-08-06,context ignoring,No,0.041666666666666664,1.0
gpt-4o-2024-08-06,combined attack,No,0.0,0.984251968503937
gpt-4o-2024-08-06,escape characters,No,0.0,1.0
gpt-4o-2024-08-06,fake completion,No,0.0,1.0
gemma2:9b,fake completion,No,0.0,1.0
gemma2:9b,fake completion,No,0.0,1.0
gemma2:9b,escape characters,No,0.0,1.0
gemma2:9b,context ignoring,No,0.0,1.0
gemma2:9b,escape characters,No,0.0,1.0
gemma2:9b,naive,No,0.0,1.0
gemma2:9b,combined attack,No,0.039473684210526314,0.9919354838709677
gemma2:9b,context ignoring,No,0.041666666666666664,1.0
gemma2:9b,combined attack,No,0.0,0.9841269841269841
gemma2:9b,naive,No,0.0,1.0
claude-3-5-sonnet-20240620,context ignoring,No,0.04081632653061224,1.0
claude-3-5-sonnet-20240620,fake completion,No,0.0,1.0
claude-3-5-sonnet-20240620,combined attack,No,0.039473684210526314,0.9919354838709677
claude-3-5-sonnet-20240620,naive,No,0.0,1.0
claude-3-5-sonnet-20240620,combined attack,No,0.0,0.984251968503937
claude-3-5-sonnet-20240620,context ignoring,No,0.0,1.0
claude-3-5-sonnet-20240620,escape characters,No,0.0,1.0
claude-3-5-sonnet-20240620,escape characters,No,0.0,1.0
claude-3-5-sonnet-20240620,fake completion,No,0.0,1.0
claude-3-5-sonnet-20240620,naive,No,0.0,1.0
gpt-4o-mini,naive,No,0.0,1.0
gpt-4o-mini,naive,No,0.0,1.0
gpt-4o-mini,fake completion,No,0.0,1.0
gpt-4o-mini,combined attack,No,0.039473684210526314,0.9919354838709677
gpt-4o-mini,context ignoring,No,0.041666666666666664,1.0
gpt-4o-mini,escape characters,No,0.0,1.0
gpt-4o-mini,combined attack,No,0.0,0.984251968503937
gpt-4o-mini,escape characters,No,0.0,1.0
gpt-4o-mini,context ignoring,No,0.0,1.0
gpt-4o-mini,fake completion,No,0.0,1.0
llama3:70b,fake completion,No,0.0,1.0
llama3:70b,combined attack,No,0.0,0.984251968503937
llama3:70b,context ignoring,No,0.04081632653061224,1.0
llama3:70b,escape characters,No,0.0,1.0
llama3:70b,escape characters,No,0.0,1.0
llama3:70b,context ignoring,No,0.0,1.0
llama3:70b,fake completion,No,0.0,1.0
llama3:70b,combined attack,No,0.039473684210526314,0.9919354838709677
llama3:70b,naive,No,0.0,1.0
llama3:70b,naive,No,0.0,1.0
qwen2:7b,combined attack,No,0.0,0.984
qwen2:7b,escape characters,No,0.0,1.0
qwen2:7b,naive,No,0.0,1.0
qwen2:7b,combined attack,No,0.039473684210526314,0.9919354838709677
qwen2:7b,naive,No,0.0,1.0
qwen2:7b,escape characters,No,0.0,1.0
qwen2:7b,fake completion,No,0.0,1.0
qwen2:7b,context ignoring,No,0.0,1.0
qwen2:7b,fake completion,No,0.0,1.0
qwen2:7b,context ignoring,No,0.04081632653061224,1.0
llama3:8b,escape characters,No,0.0,1.0
llama3:8b,naive,No,0.0,1.0
llama3:8b,context ignoring,No,0.0,1.0
llama3:8b,escape characters,No,0.0,1.0
llama3:8b,combined attack,No,0.03896103896103896,0.991869918699187
llama3:8b,combined attack,No,0.0,0.9841269841269841
llama3:8b,context ignoring,No,0.04081632653061224,1.0
llama3:8b,fake completion,No,0.0,1.0
llama3:8b,naive,No,0.0,1.0
llama3:8b,fake completion,No,0.0,1.0
gpt-3.5-turbo,fake completion,No,0.0,1.0
gpt-3.5-turbo,escape characters,No,0.0,1.0
gpt-3.5-turbo,naive,No,0.0,1.0
gpt-3.5-turbo,naive,No,0.0,1.0
gpt-3.5-turbo,combined attack,No,0.0,0.984251968503937
gpt-3.5-turbo,combined attack,No,0.03896103896103896,0.991869918699187
gpt-3.5-turbo,escape characters,No,0.0,1.0
gpt-3.5-turbo,context ignoring,No,0.041666666666666664,1.0
gpt-3.5-turbo,fake completion,No,0.0,1.0
gpt-3.5-turbo,context ignoring,No,0.0,1.0
llama3.1:70b,combined attack,No,0.039473684210526314,0.9919354838709677
llama3.1:70b,escape characters,No,0.0,1.0
llama3.1:70b,combined attack,No,0.0,0.9841269841269841
llama3.1:70b,escape characters,No,0.0,1.0
llama3.1:70b,context ignoring,No,0.0,1.0
llama3.1:70b,naive,No,0.0,1.0
llama3.1:70b,fake completion,No,0.0,1.0
llama3.1:70b,fake completion,No,0.0,1.0
